obs	CPR	RQR	YPDR	TCR
				
1980Q1	622669.659	257515.5663	755878.7808	3.18
1980Q2	656003.875	264988.7271	752659.1805	3.13
1980Q3	685265.248	269365.6128	744801.1919	3.03
1980Q4	704087.875	284955.7221	801680.1414	2.97
1981Q1	669779.528	287954.7653	817319.0878	2.84
1981Q2	705334.53	306438.2334	828371.3701	2.82
1981Q3	735406.243	320014.9005	805993.6678	2.84
1981Q4	741145.209	332162.2053	856771.1553	2.81
1982Q1	700813.644	355151.9576	836780.7488	3.42
1982Q2	717005.55	329467.3426	826951.9118	4.03
1982Q3	706672.169	317785.5718	795470.4833	4.56
1982Q4	698525.88	308598.6386	811759.7252	4.48
1983Q1	650790.495	271066.6547	803320.7156	4.87
1983Q2	679915.915	258082.1666	789757.8666	4.75
1983Q3	687656.408	263054.4816	764276.6787	4.7
1983Q4	686710.952	271973.7753	806153.8581	4.62
1984Q1	670203.522	269164.9579	830479.7667	4.34
1984Q2	692880.841	268942.425	812778.6056	4.19
1984Q3	715406.142	273121.7547	800589.6567	4.14
1984Q4	703133.583	285797.5431	830100.9666	4.04
1985Q1	691959.753	278633.7709	845409.5332	3.77
1985Q2	721202.526	278999.0831	845054.235	3.79
1985Q3	731260.485	281378.3558	813892.5822	4.34
1985Q4	721416.782	274409.3063	849840.1059	4.65
1986Q1	688204.521	258467.5534	820628.5409	4.89
1986Q2	716682.988	257031.2334	840400.9479	5.17
1986Q3	707108.338	256113.8065	772418.2513	5.54
1986Q4	692840.293	269506.4096	813479.1656	5.81
1987Q1	657738.851	277360.1264	812856.2824	5.78
1987Q2	708041.309	283744.8635	843850.1319	5.68
1987Q3	719141.012	287041.0167	796120.5702	5.43
1987Q4	724679.621	280684.3602	855320.5995	5.2
1988Q1	672262.518	252680.1044	834575.8001	4.78
1988Q2	710845.6	267613.2147	854046.801	4.41
1988Q3	716630.2	263132.2417	799259.3866	4.27
1988Q4	746074.194	281594.1675	867946.6515	4.19
1989Q1	714711.791	293541.0119	859009.4307	4.09
1989Q2	773052.669	310033.0026	894196.1323	4.15
1989Q3	784973.793	333738.5261	843125.2565	4.2
1989Q4	780341.211	354932.4135	896285.0834	4.21
1990Q1	754406.265	352161.9715	892604.4654	4.03
1990Q2	808002.71	369719.2645	934981.0526	3.99
1990Q3	838931.119	381995.3793	889889.0687	3.95
1990Q4	848004.002	404554.6391	962589.1558	3.88
1991Q1	783901.985	409329.3274	933329.4478	3.69
1991Q2	852071.388	430837.7086	981820.3051	3.63
1991Q3	867844.26	437701.248	918277.5051	3.61
1991Q4	897554.91	450445.5528	1000744.023	3.51
1992Q1	818616.79	443679.2705	975988.9575	3.35
1992Q2	893219.89	447532.6962	1007555.114	3.32
1992Q3	906955.063	451118.8453	958306.3935	3.28
1992Q4	941726.357	472486.1148	1028607.953	3.25
1993Q1	897029.056	495617.5139	1005263.964	3.16
1993Q2	902693.178	516769.0907	1014620.956	3.13
1993Q3	895346.608	530718.219	973658.7578	3.1
1993Q4	933207.769	553571.9813	1050608.475	3.08
1994Q1	918003.59	580689.7076	1027436.875	3.08
1994Q2	956209.543	578320.0038	1070252.809	3.22
1994Q3	939831.541	589366.3154	1018217.475	3.25
1994Q4	988635.469	626517.0803	1104245.551	3.4
1995Q1	887916.137	607586.6585	1018323.641	5.18
1995Q2	854404.467	517861.1295	967239.393	4.58
1995Q3	848686.5	504470.562	932833.1697	4.31
1995Q4	897618.761	519514.3664	1023285.446	4.79
1996Q1	868736.339	511034.2073	1018860.002	4.54
1996Q2	878233.115	509943.5681	1033707.325	4.26
1996Q3	875418.453	516108.8982	1002125.759	4.14
1996Q4	937754.673	532437.9866	1095428.589	4.11
1997Q1	887254.082	548660.1221	1069623.751	3.89
1997Q2	950626.441	567997.8565	1123386.295	3.8
1997Q3	940579.173	578073.5747	1079927.954	3.67
1997Q4	1007977.488	596459.8339	1173175.705	3.69
1998Q1	963077.345	594183.2452	1152402.996	3.66
1998Q2	1005845.532	605807.5784	1171819.866	3.67
1998Q3	994129.729	610258.8419	1136266.201	3.9
1998Q4	1025672.589	617850.8803	1205113.036	3.95
1999Q1	978525.517	618867.0932	1173786.91	3.72
1999Q2	1039474.278	633830.0564	1212877.662	3.47
1999Q3	1035155.319	655890.139	1188100.018	3.39
1999Q4	1099456.946	671967.6059	1271036.377	3.37
2000Q1	1058679.418	636787.6504	1259795.937	3.28
2000Q2	1128676.872	677733.7703	1303437.601	3.31
2000Q3	1125997.712	693186.3877	1273988.76	3.22
2000Q4	1170851.25	669718.0203	1329702.069	3.21
2001Q1	1126403.572	677853.3132	1289098.022	3.25
2001Q2	1172621.63	690784.8967	1306958.486	3.08
2001Q3	1143376.782	718270.9068	1256357.834	3.07
2001Q4	1186378.063	739957.9571	1311659.866	3.03
2002Q1	1106925.631	743661.4976	1265438.744	2.96
2002Q2	1205980.83	751074.1062	1335538.816	3.06
2002Q3	1164410	781570.9834	1277667	3.260110678
2002Q4	1213524	808604.0405	1343183	3.013615
2003Q1	1150610	803990.4596	1306291	3.100431
2003Q2	1238314	818772.657	1354562	3.397831
2003Q3	1200142	854935.0379	1313379	3.349285
2003Q4	1257638	913690.9265	1410397	3.131975
