obs	CPR	RQR	YPDR	TCR	lcpr	lrqr	lydr	ltcr
								
1980.1	622669.659	257515.5663	755878.7808	3.18	13.34177141	12.45883545	13.5356363	1.156881197
1980.2	656003.875	264988.7271	752659.1805	3.13	13.39392197	12.48744256	13.53136779	1.141033005
1980.3	685265.248	269365.6128	744801.1919	3.03	13.43756127	12.50382489	13.52087261	1.10856262
1980.4	704087.875	284955.7221	801680.1414	2.97	13.46465845	12.56008909	13.59446498	1.088561953
1981.1	669779.528	287954.7653	817319.0878	2.84	13.41470387	12.57055868	13.61378486	1.043804052
1981.2	705334.53	306438.2334	828371.3701	2.82	13.46642748	12.63277149	13.62721685	1.036736885
1981.3	735406.243	320014.9005	805993.6678	2.84	13.50817834	12.67612284	13.59983117	1.043804052
1981.4	741145.209	332162.2053	856771.1553	2.81	13.51595185	12.7133787	13.66092613	1.033184483
1982.1	700813.644	355151.9576	836780.7488	3.42	13.45999729	12.78030103	13.63731737	1.229640551
1982.2	717005.55	329467.3426	826951.9118	4.03	13.48283886	12.70523252	13.62550182	1.393766376
1982.3	706672.169	317785.5718	795470.4833	4.56	13.46832214	12.66913213	13.58668902	1.517322624
1982.4	698525.88	308598.6386	811759.7252	4.48	13.45672751	12.63979681	13.60695967	1.499623046
1983.1	650790.495	271066.6547	803320.7156	4.87	13.38594305	12.51012003	13.59650931	1.583093937
1983.2	679915.915	258082.1666	789757.8666	4.75	13.42972442	12.46103329	13.57948168	1.558144618
1983.3	687656.408	263054.4816	764276.6787	4.7	13.44104459	12.48011644	13.54668515	1.547562509
1983.4	686710.952	271973.7753	806153.8581	4.62	13.43966874	12.51346093	13.60002989	1.530394705
1984.1	670203.522	269164.9579	830479.7667	4.34	13.41533671	12.5030797	13.62975884	1.467874348
1984.2	692880.841	268942.425	812778.6056	4.19	13.44861332	12.5022526	13.60821403	1.432700734
1984.3	715406.142	273121.7547	800589.6567	4.14	13.48060569	12.51767296	13.59310381	1.420695788
1984.4	703133.583	285797.5431	830100.9666	4.04	13.46330217	12.56303895	13.62930262	1.396244692
1985.1	691959.753	278633.7709	845409.5332	3.77	13.44728307	12.53765355	13.64757644	1.327075001
1985.2	721202.526	278999.0831	845054.235	3.79	13.48867527	12.53896377	13.64715609	1.332366019
1985.3	731260.485	281378.3558	813892.5822	4.34	13.50252502	12.5474555	13.60958367	1.467874348
